#{"t_start": 1695213136.580772, "env_id": null}
r,l,t
-29.754878,11,58.098001
-26.712698,10,58.151001
-206.163111,39,58.211547
-2.180106,4,58.396094
-81.453857,24,58.425094
-32.17742,10,58.537601
-31.556461,8,58.587109
-36.579112,17,58.640109
-9.851006,5,58.723616
-98.600744,22,58.754616
0.05583,2,58.852124
-33.261007,11,58.866127
-9.690528,5,58.928632
-29.142946,8,58.954632
-100.663604,25,59.001139
-109.819742,25,59.132647
-34.411762,9,59.253155
-56.990107,10,59.297663
-10.460951,5,59.339662
-7.360493,6,59.362665
-32.536102,9,59.393183
0.993983,1,59.433171
-1.395617,3,59.437171
-66.54302,23,59.463173
-13.231505,8,59.56868
-38.633666,9,59.609213
-8.142412,5,59.652213
-15.116547,8,59.676725
-19.741547,9,59.717976
-19.276881,7,59.759978
-11.129684,7,59.793485
-18.557017,7,59.829484
-19.016374,8,59.862487
-11.618232,5,59.895991
-170.398874,36,59.933991
-26.145097,8,60.090007
-22.354769,9,60.126007
-7.273581,8,60.163009
-21.628456,10,60.201515
3.380289,1,60.244515
0.200909,1,60.251515
-0.710764,3,60.256515
-4.390989,5,60.271518
-85.039646,25,60.304023
-101.807755,27,60.418544
2.572316,1,60.53209
-25.007495,7,60.54009
-3.191694,4,60.570092
-7.160005,6,60.590457
-14.431424,6,60.618458
-205.853406,41,60.658458
-5.331851,4,60.836486
-32.134822,9,60.856486
3.503,1,60.892009
-27.153334,10,60.902009
-2.274313,3,60.954009
-11.253135,6,60.969012
-39.402786,15,60.999548
0.148159,1,61.068086
-5.833869,7,61.076595
-23.82219,9,61.116607
-71.657832,24,61.164597
-44.819963,12,61.268146
-35.932638,9,61.322667
-31.428864,8,61.365676
-38.701316,8,61.400718
0.617502,1,61.434718
0.904235,1,61.439718
3.358834,1,61.446718
-14.190637,7,61.455734
-52.931428,19,61.501985
-40.524017,10,61.591495
1.497062,1,61.591495
-167.277027,34,61.603495
-80.468919,23,61.610495
-109.340913,29,61.621495
-21.482718,9,61.643495
-117.677756,29,61.706002
-37.23814,12,61.833537
-21.995658,13,61.888061
-6.544823,5,61.94706
-41.8277,13,61.975063
-97.698837,27,62.045568
-42.002488,10,62.178583
-31.89463,16,62.231584
-24.898142,9,62.301117
-40.93941,18,62.345117
-19.058052,7,62.423831
0.031187,1,62.456832
-34.138039,8,62.462835
-12.627112,6,62.50034
-0.80261,3,62.52634
0.272444,2,62.54234
-10.103522,10,62.555352
-6.290129,5,62.601909
-17.090063,12,62.626909
-43.515426,12,62.684417
0.843161,1,62.73543
-62.233134,22,62.74943
-0.951763,3,62.841868
-17.064927,6,62.856146
-122.647717,29,62.893017
-12.26696,5,63.016281
-43.083557,10,63.039281
-19.573476,8,63.089539
2.476234,1,63.124971
-60.3658,20,63.137971
-116.454442,31,63.24476
-16.860078,7,63.405636
-25.311292,10,63.457635
-58.789982,16,63.525148
4.447642,1,63.611661
-4.170663,5,63.619662
-22.652082,8,63.652662
-45.368126,10,63.697175
0.389886,1,63.746175
-12.84936,7,63.753175
-139.81549,30,63.807919
-4.58048,4,63.943473
-58.380785,11,63.965525
-3.696491,4,64.02573
-142.25974,32,64.056934
-32.587408,11,64.200735
-128.124056,31,64.267132
-22.763638,7,64.413428
1.25558,1,64.458427
-115.002725,27,64.485444
-51.446298,13,64.647959
-16.245121,8,64.724847
-38.117801,11,64.767851
-23.973292,8,64.833723
-6.937811,5,64.884238
-10.252316,6,64.915239
-11.253298,5,64.949239
-5.394464,4,64.977747
-33.23602,8,65.000752
-98.29583,24,65.048932
-34.022637,8,65.167592
0.066471,1,65.204955
0.222435,1,65.208955
-53.20098,10,65.220687
-201.28983,38,65.281578
-110.800405,29,65.476765
0.735247,2,65.603017
-38.344604,9,65.616017
-91.732236,27,65.66902
-10.4853,6,65.781483
0.483153,2,65.810483
-24.461208,11,65.826483
-171.869758,35,65.890109
-8.070635,5,66.03577
-17.350708,9,66.063761
-82.990698,25,66.112266
-71.968581,19,66.249388
1.150009,2,66.345922
-10.683082,6,66.359922
-20.150473,8,66.407436
-6.419485,8,66.455435
-98.757423,28,66.51515
-43.349862,9,66.667856
-153.065883,34,66.730362
-4.497706,5,66.886171
-36.576102,9,66.916244
-17.131431,7,66.967458
-2.016002,4,67.005924
-49.320675,10,67.033258
-0.807943,2,67.083207
-117.502536,30,67.104206
-226.812496,40,67.254235
3.973811,1,67.42924
-20.246182,8,67.438241
-2.78114,4,67.477255
0.044202,2,67.501295
-38.31668,17,67.517294
1.030654,1,67.585273
-18.414965,8,67.594781
-33.788129,15,67.643781
1.119212,1,67.7088
-21.621999,7,67.718801
-27.951637,10,67.750801
-25.416375,8,67.806924
-29.365737,8,67.846924
2.649093,1,67.88832
-29.612654,11,67.89932
0.118719,1,67.946746
-26.398621,7,67.955747
-7.721906,5,67.985271
-5.209123,4,68.00727
-71.02038,20,68.03527
-33.579694,11,68.138901
-30.378223,13,68.197447
-166.332493,34,68.266449
-207.090537,39,68.440715
-34.789551,10,68.606735
-21.428236,10,68.655735
-8.69496,5,68.705244
-111.451265,29,68.743244
-14.713764,8,68.869078
-5.746459,4,68.906583
-0.193385,3,68.924583
-1.108692,3,68.943583
-61.155162,19,68.966587
-1.757199,3,69.059093
0.548367,1,69.071095
-15.099698,6,69.079598
-32.910194,12,69.112601
-152.839717,33,69.181127
-55.652476,21,69.345062
-79.137455,22,69.45278
-39.689464,12,69.558201
-40.599215,9,69.618225
-10.978807,6,69.656225
-4.473753,4,69.690085
0.776554,1,69.713166
-3.163907,4,69.723872
-0.466773,3,69.743769
3.980582,1,69.756238
-2.233166,3,69.763459
-4.713143,4,69.776829
-11.329006,6,69.800337
2.529047,1,69.827842
-0.231098,2,69.834842
-140.970932,29,69.855158
-168.3507,36,69.993851
-3.030112,3,70.146707
-51.543992,17,70.172709
-120.053897,29,70.263529
-55.555805,10,70.399118
0.752713,1,70.44512
-35.045561,9,70.452884
-7.62514,5,70.49469
-46.852559,10,70.518687
0.31993,1,70.569693
-183.013091,36,70.591197
-23.457127,13,70.750034
-19.004309,9,70.806489
-32.894856,11,70.85324
-41.366186,13,70.905601
-67.220701,18,70.968604
3.060739,1,71.039184
3.32679,1,71.044184
-27.746625,11,71.056184
-43.461142,10,71.114708
-8.883489,6,71.156719
-25.67168,7,71.188227
-39.656154,17,71.229228
-32.453941,11,71.301522
-1.041706,3,71.350843
0.268521,1,71.362843
-18.041661,6,71.370846
-38.610102,11,71.405423
-49.778191,13,71.458906
-16.789266,11,71.526586
-20.760683,7,71.572976
-194.727848,39,71.618494
-9.436535,6,71.792703
-11.56118,5,71.822704
-105.198001,29,71.858092
-2.598548,3,71.985845
1.273376,1,72.001845
-152.998677,33,72.023845
-6.495574,5,72.181346
-2.073237,3,72.202349
-216.710915,38,72.23654
-34.895385,8,72.39998
-2.6971,5,72.44098
0.741823,1,72.460263
0.074174,1,72.466264
-3.656079,4,72.472266
-12.836887,7,72.494771
-29.506426,15,72.530742
-5.206484,4,72.593756
-6.40472,7,72.615151
-117.496538,29,72.667154
-34.970325,8,72.787679
-71.313863,21,72.828316
-147.313345,34,72.939525
-24.712626,7,73.090237
1.196925,1,73.123751
-54.893545,12,73.138747
-19.071949,6,73.202256
-28.290851,10,73.235257
-27.882186,9,73.28026
-40.697114,15,73.32147
3.71037,1,73.388627
-45.801868,11,73.395627
-53.944113,11,73.447627
-21.31941,7,73.493675
-0.277313,2,73.527676
-155.862402,33,73.550676
-37.354958,12,73.685681
-35.237644,11,73.738369
-5.524855,5,73.795606
3.737259,1,73.817606
-12.408114,5,73.825606
-2.293228,3,73.845115
-154.646312,34,73.874118
-2.185878,3,74.032212
-70.804344,18,74.052212
-125.85098,31,74.14174
-23.128158,7,74.274554
-33.444977,12,74.306059
-30.464623,14,74.359059
-8.262872,5,74.421569
0.027323,1,74.447569
-112.049061,29,74.461568
2.945242,1,74.578925
-39.396055,9,74.585155
-40.454783,11,74.629155
-19.563108,7,74.676004
2.63345,1,74.706168
-28.377338,7,74.712168
-20.57751,7,74.748169
-96.213843,23,74.785107
-64.896413,19,74.88731
-116.100388,30,74.978527
-18.384267,6,75.107963
-27.601105,8,75.136963
-62.109181,22,75.176966
-103.694061,28,75.276352
-49.376222,10,75.39619
-18.590819,9,75.44019
-26.356096,8,75.482696
-1.771876,4,75.516698
-4.558951,7,75.539197
0.973715,1,75.57054
-22.979545,7,75.579538
-0.472046,2,75.610553
-45.34622,9,75.627227
-23.170395,10,75.676509
-177.626135,36,75.732923
-12.069884,5,75.885433
-13.606959,8,75.908433
-6.611571,4,75.946401
-6.719143,4,75.966934
-53.109798,21,75.992808
-9.703234,6,76.087363
-0.601627,3,76.112362
-26.290979,7,76.12579
-1.117682,3,76.155657
-17.467091,12,76.178662
-43.898902,9,76.235509
-5.08439,4,76.274513
-36.314656,11,76.294627
-22.656291,8,76.343778
-79.183312,22,76.387999
1.649693,1,76.477001
-7.489411,4,76.488508
-8.004947,6,76.490508
-38.598412,9,76.494508
-30.487035,8,76.496508
-10.551727,7,76.498508
-11.447452,5,76.52138
-30.670827,8,76.563381
-31.940879,11,76.602271
-2.081279,4,76.649286
-87.317128,25,76.675289
-19.627177,6,76.782204
-0.014959,2,76.806717
-161.12974,34,76.827821
-212.323736,39,76.989331
-95.273358,27,77.177014
-27.463068,8,77.286795
-0.504856,2,77.319302
1.804704,1,77.328305
4.165863,1,77.335302
